sample,fastq_1,fastq_2,marker,run
11240_HC_323_S11_S141,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_S11_S141_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_S11_S141_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_323_S12_S142,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_S12_S142_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_S12_S142_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_323_S1_S139,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_S1_S139_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_S1_S139_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_323_S2_S143,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_S2_S143_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_S2_S143_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_323_S3_S144,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_S3_S144_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_S3_S144_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_323_S4_S145,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_S4_S145_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_S4_S145_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_323_S5_S146,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_S5_S146_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_S5_S146_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_323_S6_S147,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_S6_S147_R1_cuta_noprim.fastq.gz,/prj/DECODE/oysters/nf-edna-pipeline/samplesheets/fixed_fastq/11240_HC_323_S6_S147_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_323_S7_S148,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_S7_S148_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_S7_S148_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_323_S8_S149,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_S8_S149_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_S8_S149_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_323_S9_S150,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_S9_S150_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_S9_S150_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_323_W1_S151,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_W1_S151_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_W1_S151_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_323_W2_S152,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_W2_S152_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_W2_S152_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_323_W3_S153,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_W3_S153_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_323_W3_S153_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_621_S10_S155,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_621_S10_S155_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_621_S10_S155_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_621_S11_S156,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_621_S11_S156_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_621_S11_S156_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_621_S12_S157,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_621_S12_S157_R1_cuta_noprim.fastq.gz,/prj/DECODE/oysters/nf-edna-pipeline/samplesheets/fixed_fastq/11240_HC_621_S12_S157_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_621_S1_S154,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_621_S1_S154_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_621_S1_S154_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_621_S2_S158,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_621_S2_S158_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_621_S2_S158_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_621_S3_S159,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_621_S3_S159_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_621_S3_S159_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_621_S4_S160,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_621_S4_S160_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_621_S4_S160_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_621_S5_S161,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_621_S5_S161_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_621_S5_S161_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_621_S6_S162,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_621_S6_S162_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_621_S6_S162_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_621_S7_S163,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_621_S7_S163_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_621_S7_S163_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_621_S8_S164,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_621_S8_S164_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_621_S8_S164_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_621_S9_S165,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_621_S9_S165_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_621_S9_S165_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_721_W1_S166,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_721_W1_S166_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_721_W1_S166_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_721_W2_S167,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_721_W2_S167_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_721_W2_S167_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_721_W3_S168,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_721_W3_S168_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_721_W3_S168_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_722_S10_S170,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_S10_S170_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_S10_S170_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_722_S11_S171,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_S11_S171_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_S11_S171_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_722_S12_S172,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_S12_S172_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_S12_S172_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_722_S1_S169,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_S1_S169_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_S1_S169_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_722_S2_S173,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_S2_S173_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_S2_S173_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_722_S3_S174,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_S3_S174_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_S3_S174_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_722_S4_S175,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_S4_S175_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_S4_S175_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_722_S5_S176,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_S5_S176_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_S5_S176_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_722_S6_S177,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_S6_S177_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_S6_S177_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_722_S7_S178,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_S7_S178_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_S7_S178_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_722_S8_S179,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_S8_S179_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_S8_S179_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_722_S9_S180,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_S9_S180_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_S9_S180_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_722_W1_S181,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_W1_S181_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_W1_S181_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_722_W2_S182,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_W2_S182_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_W2_S182_R2_cuta_noprim.fastq.gz,12S,run1
11240_HC_722_W3_S183,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_W3_S183_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HC_722_W3_S183_R2_cuta_noprim.fastq.gz,12S,run1
11240_HH_1123_W1_S184,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_1123_W1_S184_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_1123_W1_S184_R2_cuta_noprim.fastq.gz,12S,run1
11240_HH_1123_W2_S185,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_1123_W2_S185_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_1123_W2_S185_R2_cuta_noprim.fastq.gz,12S,run1
11240_HH_1123_W3_S186,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_1123_W3_S186_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_1123_W3_S186_R2_cuta_noprim.fastq.gz,12S,run1
11240_HH_323_W1_S187,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_323_W1_S187_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_323_W1_S187_R2_cuta_noprim.fastq.gz,12S,run1
11240_HH_323_W2_S188,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_323_W2_S188_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_323_W2_S188_R2_cuta_noprim.fastq.gz,12S,run1
11240_HH_323_W3_S189,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_323_W3_S189_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_323_W3_S189_R2_cuta_noprim.fastq.gz,12S,run1
11240_HH_722_S10_S191,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_S10_S191_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_S10_S191_R2_cuta_noprim.fastq.gz,12S,run1
11240_HH_722_S11_S192,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_S11_S192_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_S11_S192_R2_cuta_noprim.fastq.gz,12S,run1
11240_HH_722_S12_S193,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_S12_S193_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_S12_S193_R2_cuta_noprim.fastq.gz,12S,run1
11240_HH_722_S1_S190,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_S1_S190_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_S1_S190_R2_cuta_noprim.fastq.gz,12S,run1
11240_HH_722_S2_S194,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_S2_S194_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_S2_S194_R2_cuta_noprim.fastq.gz,12S,run1
11240_HH_722_S3_S195,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_S3_S195_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_S3_S195_R2_cuta_noprim.fastq.gz,12S,run1
11240_HH_722_S4_S196,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_S4_S196_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_S4_S196_R2_cuta_noprim.fastq.gz,12S,run1
11240_HH_722_S5_S197,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_S5_S197_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_S5_S197_R2_cuta_noprim.fastq.gz,12S,run1
11240_HH_722_S6_S198,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_S6_S198_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_S6_S198_R2_cuta_noprim.fastq.gz,12S,run1
11240_HH_722_S7_S199,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_S7_S199_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_S7_S199_R2_cuta_noprim.fastq.gz,12S,run1
11240_HH_722_S8_S200,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_S8_S200_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_S8_S200_R2_cuta_noprim.fastq.gz,12S,run1
11240_HH_722_S9_S201,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_S9_S201_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_S9_S201_R2_cuta_noprim.fastq.gz,12S,run1
11240_HH_722_W1_S202,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_W1_S202_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_W1_S202_R2_cuta_noprim.fastq.gz,12S,run1
11240_HH_722_W2_S203,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_W2_S203_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_W2_S203_R2_cuta_noprim.fastq.gz,12S,run1
11240_HH_722_W3_S204,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_W3_S204_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HH_722_W3_S204_R2_cuta_noprim.fastq.gz,12S,run1
11240_HR6_21_S10_S205,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR6_21_S10_S205_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR6_21_S10_S205_R2_cuta_noprim.fastq.gz,12S,run1
11240_HR6_21_S11_S206,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR6_21_S11_S206_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR6_21_S11_S206_R2_cuta_noprim.fastq.gz,12S,run1
11240_HR6_21_S12_S207,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR6_21_S12_S207_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR6_21_S12_S207_R2_cuta_noprim.fastq.gz,12S,run1
11240_HR6_21_S9_S208,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR6_21_S9_S208_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR6_21_S9_S208_R2_cuta_noprim.fastq.gz,12S,run1
11240_HR_1123_W1_S209,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR_1123_W1_S209_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR_1123_W1_S209_R2_cuta_noprim.fastq.gz,12S,run1
11240_HR_1123_W2_S210,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR_1123_W2_S210_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR_1123_W2_S210_R2_cuta_noprim.fastq.gz,12S,run1
11240_HR_1123_W3_S211,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR_1123_W3_S211_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR_1123_W3_S211_R2_cuta_noprim.fastq.gz,12S,run1
11240_HR_323_S10_S213,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR_323_S10_S213_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR_323_S10_S213_R2_cuta_noprim.fastq.gz,12S,run1
11240_HR_323_S11_S214,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR_323_S11_S214_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR_323_S11_S214_R2_cuta_noprim.fastq.gz,12S,run1
11240_HR_323_S12_S215,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR_323_S12_S215_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR_323_S12_S215_R2_cuta_noprim.fastq.gz,12S,run1
11240_HR_323_S1_S212,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR_323_S1_S212_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR_323_S1_S212_R2_cuta_noprim.fastq.gz,12S,run1
11240_HR_323_S2_S216,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR_323_S2_S216_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR_323_S2_S216_R2_cuta_noprim.fastq.gz,12S,run1
11240_HR_323_S3_S217,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR_323_S3_S217_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR_323_S3_S217_R2_cuta_noprim.fastq.gz,12S,run1
11240_HR_323_S4_S218,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR_323_S4_S218_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR_323_S4_S218_R2_cuta_noprim.fastq.gz,12S,run1
11240_HR_323_S5_S219,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR_323_S5_S219_R1_cuta_noprim.fastq.gz,/hdd0/laucoo/fastq/newfastq/V0347/12S/15_no_primers/11240_HR_323_S5_S219_R2_cuta_noprim.fastq.gz,12S,run1
